name,individual,rule_of_law,centralization,enforcement,irreversibility,real_axis,legitimacy
Adam Smith,0.8,0.9,-0.8,-0.6,0.8,0.9,0.7
David Ricardo,0.7,0.9,-0.7,-0.5,0.8,0.8,0.6
Karl Marx,-0.9,0.2,0.9,0.8,-0.8,0.2,-0.9
John Maynard Keynes,-0.2,0.8,0.4,0.6,0.3,0.5,0.4
Friedrich Hayek,0.9,0.9,-0.8,-0.8,0.9,0.9,0.8
Milton Friedman,0.8,0.9,-0.7,-0.7,0.7,0.9,0.7
Joseph Stiglitz,-0.3,0.8,0.3,0.5,0.4,0.6,0.5
Douglass North,0.4,0.9,-0.2,0.2,0.8,0.8,0.6
Alexis de Tocqueville,0.3,0.9,-0.3,0.1,0.7,0.8,0.5
Max Weber,0.1,0.9,0.6,0.7,0.8,0.9,0.6
Émile Durkheim,-0.6,0.8,0.7,0.6,0.5,0.6,-0.2
Karl Polanyi,-0.7,0.7,0.5,0.6,0.4,0.4,-0.3
John Rawls,-0.2,0.9,0.2,0.6,0.3,0.5,0.7
Robert Nozick,0.9,0.9,-0.8,-0.9,0.8,0.9,0.8
Hannah Arendt,0.2,0.9,0.1,0.2,0.7,0.8,0.4
Michel Foucault,-0.4,0.3,0.1,0.1,-0.2,0.2,-0.3
Jürgen Habermas,-0.3,0.8,0.2,0.4,0.3,0.4,0.6
Plato,-0.8,0.7,0.9,0.8,0.6,0.3,0.9
Aristotle,0.2,0.8,0.4,0.4,0.7,0.7,0.6
Friedrich Nietzsche,0.9,0.4,-0.4,-0.2,0.5,0.6,-0.1
