name,individual,rule_of_law,centralization,enforcement,irreversibility,real_axis,legitimacy
アダム・スミス,0.8,0.9,-0.8,-0.6,0.8,0.9,0.7
デヴィッド・リカード,0.7,0.9,-0.7,-0.5,0.8,0.8,0.6
カール・マルクス,-0.9,0.2,0.9,0.8,-0.8,0.2,-0.9
ジョン・メイナード・ケインズ,-0.2,0.8,0.4,0.6,0.3,0.5,0.4
フリードリヒ・ハイエク,0.9,0.9,-0.8,-0.8,0.9,0.9,0.8
ミルトン・フリードマン,0.8,0.9,-0.7,-0.7,0.7,0.9,0.7
ジョセフ・スティグリッツ,-0.3,0.8,0.3,0.5,0.4,0.6,0.5
ダグラス・ノース,0.4,0.9,-0.2,0.2,0.8,0.8,0.6
アレクシ・ド・トクヴィル,0.3,0.9,-0.3,0.1,0.7,0.8,0.5
マックス・ウェーバー,0.1,0.9,0.6,0.7,0.8,0.9,0.6
エミール・デュルケーム,-0.6,0.8,0.7,0.6,0.5,0.6,-0.2
カール・ポランニー,-0.7,0.7,0.5,0.6,0.4,0.4,-0.3
ジョン・ロールズ,-0.2,0.9,0.2,0.6,0.3,0.5,0.7
ロバート・ノージック,0.9,0.9,-0.8,-0.9,0.8,0.9,0.8
ハンナ・アーレント,0.2,0.9,0.1,0.2,0.7,0.8,0.4
ミシェル・フーコー,-0.4,0.3,0.1,0.1,-0.2,0.2,-0.3
ユルゲン・ハーバーマス,-0.3,0.8,0.2,0.4,0.3,0.4,0.6
プラトン,-0.8,0.7,0.9,0.8,0.6,0.3,0.9
アリストテレス,0.2,0.8,0.4,0.4,0.7,0.7,0.6
フリードリヒ・ニーチェ,0.9,0.4,-0.4,-0.2,0.5,0.6,-0.1
